650900,51,650700,12,651000,196,650600,100,651100,25,650500,190,651200,153,650400,110,1,1,1,1,0
696400,16,696000,12,696500,57,695900,118,696600,100,695800,262,696700,150,695700,104,1,0,1,0,1
740800,2,740400,20,741000,60,740200,27,741200,156,740100,31,741300,200,740000,170,0,1,0,0,1
730900,1,730200,230,731000,111,730100,86,731100,42,730000,136,731200,100,729900,132,1,1,0,0,1
630600,100,630300,69,630700,110,630200,2,630800,219,630100,1,630900,101,630000,104,0,1,0,0,0
851100,579,850300,25,851200,17,850100,287,851400,307,850000,270,851500,223,849900,72,1,0,1,0,1
755500,37,755300,10,755600,100,755200,100,755700,119,755100,60,755800,150,755000,100,1,1,0,1,1
650000,70,649600,18,650200,200,649500,77,650300,200,649300,213,650400,100,649200,101,0,0,1,0,0
627500,1,627100,100,627600,102,626900,203,627700,206,626700,100,627800,200,626600,8,0,0,1,1,1
727900,100,727800,5,728000,106,727700,100,728100,200,727600,7,728200,200,727400,503,0,1,1,1,1
847400,100,845500,1214,847500,101,845400,150,847600,101,845300,20,847700,75,845100,100,1,0,1,0,1
735900,10,735800,306,736100,415,735700,100,736200,100,735600,100,736300,495,735500,208,0,0,0,1,0
653400,163,653200,100,653500,97,653000,76,653600,17,652900,318,653700,103,652800,154,1,1,0,0,1
622700,28,622300,39,623100,300,622200,102,623200,100,622100,700,623300,100,622000,233,0,0,0,1,0
702400,59,702200,200,702500,86,702100,100,702600,100,702000,100,702700,171,701900,100,1,0,0,0,0
660200,47,660000,88,660300,101,659700,46,660400,105,659600,300,660500,5,659500,100,1,1,1,0,1
731100,10,730900,50,731200,10,730800,21,731300,16,730700,178,731400,9,730600,132,1,0,1,0,1
735200,61,734700,100,735300,176,734600,39,735400,150,734500,120,735600,158,734400,183,0,0,0,0,0
676300,300,674900,23,676900,103,674600,227,677000,39,674500,500,677600,7,674300,100,1,0,1,0,0
692300,55,692100,100,692400,153,692000,200,692500,155,691800,100,692600,2,691700,100,0,1,1,0,0
648000,14,647000,100,648100,118,646900,31,648200,100,646800,22,648300,220,646600,16,1,1,0,0,0
985200,40,984800,13,985300,109,984700,101,985500,200,984600,2,985600,24,984500,6,0,1,1,0,1
651400,110,651000,105,651500,100,650900,380,651700,101,650800,183,651800,284,650700,78,1,0,1,0,1
770600,50,769900,50,770700,205,769800,521,770800,51,769700,50,770900,124,769600,1310,0,1,0,0,1
628200,23,627900,14,628300,10,627500,113,628500,8,627200,22,628600,10,627000,100,0,0,0,1,0
777200,50,776600,49,777300,9,776500,100,777400,250,776400,382,777500,200,776300,150,0,0,0,0,0
1012600,52,1011900,4,1012700,72,1011800,6,1012800,66,1011700,100,1012900,60,1011600,2,0,0,0,0,0
644200,50,643700,300,644300,100,643600,287,644400,155,643500,201,644500,1,643400,110,0,1,0,1,0
777100,31,776500,40,777300,200,776400,126,777400,155,776300,173,777700,51,776200,200,0,0,0,0,1
670200,4,670000,200,670300,17,669900,102,670600,6,669700,207,670700,100,669600,154,0,0,1,1,0
693900,50,693400,50,694000,100,693300,100,694100,106,693200,50,694300,60,693100,200,0,1,0,0,1
801300,100,801200,100,801400,100,801100,122,801500,207,801000,193,801600,100,800900,170,0,1,0,0,0
667500,26,666700,107,667600,401,666600,120,667700,1,666500,120,667800,128,666400,140,0,1,0,1,0
644400,50,644200,300,644500,232,644100,9,644600,50,644000,251,644800,50,643900,3,0,1,0,0,1
767800,128,767400,25,767900,8,767300,250,768000,1,767200,333,768100,100,767000,81,1,1,1,0,1
730900,100,730600,100,731000,50,730400,72,731200,150,730300,110,731300,59,730200,51,1,1,0,1,0
